PROGRAMA,SEMESTRE,NOMBRE MODULO
INGENIERIA INFORMATICA,7,TEORIA GENERAL DE SISTEMAS
INGENIERIA INFORMATICA,7,TOPICOS AVANZADOS EN BASES DE DATOS
INGENIERIA INFORMATICA,10,TRABAJO DE GRADO
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,4,ADMINISTRACION Y PROGRAMACION DE OBRA
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,1,APLICACION DE TECNICAS DE EXPRESION COLOR Y TEXTURA
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,3,BIM - I
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,4,BIM - II
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,1,CONSTRUCCION I 
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,2,CONSTRUCCION II
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,2,CONSTRUCCION III
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,5,CONSTRUCCION IV
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,5,CONSTRUCCION V
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,3,COSTOS Y PRESUPUESTOS 
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,3,COSTOS Y PRESUPUESTOS DE OBRA
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,1,DESCRIPTIVA I
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,1,DIBUJO BASICO DE ARQUITECTURA
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,2,DIBUJO DE ARQUITECTURA DE BAJA COMPLEJIDAD
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,3,DIBUJO DE ARQUITECTURA DE MEDIANA COMPLEJIDAD
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,5,ELECTIVA I
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,6,ELECTIVA II
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,5,EMPRENDIMIENTO 
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,4,ESTRUCTURAS
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,1,EXPRESION I
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,2,EXPRESION II
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,2,EXPRESION III
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,3,EXPRESION IV
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,1,FORMACION CIUDADANA 
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,1,FORMACION DEL SER
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,3,FORMULACION DE PROYECTOS 
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,2,GEOMETRIA DESCRIPTIVA 
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,2,GEOMETRIA DESCRIPTIVA PARA LA REPRESENTACION GRAFICA
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,1,HERRAMIENTAS DIGITALES I
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,2,HERRAMIENTAS DIGITALES II
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,5,HISTORIA DE LA ARQUITECTURA
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,5,HISTORIA DEL DIBUJO 
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,2,INFOGRAFIA PARA LA ARQUITECTURA I
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,5,INFOGRAFIA PARA LA ARQUITECTURA II
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,2,INGLES I
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,3,INGLES II
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,4,INGLES III
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,5,INGLES IV
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,4,INSTALACIONES ELECTRICAS
TECNOLOGIA EN DESARROLLO DE SOFTWARE,4,ADMINISTRACION GENERAL
TECNOLOGIA EN DESARROLLO DE SOFTWARE,3,ALGEBRA LINEAL
TECNOLOGIA EN DESARROLLO DE SOFTWARE,5,APLICACIONES WEB I
TECNOLOGIA EN DESARROLLO DE SOFTWARE,6,APLICACIONES WEB II
TECNOLOGIA EN DESARROLLO DE SOFTWARE,3,ARQUITECTURA DE COMPUTADORES
TECNOLOGIA EN DESARROLLO DE SOFTWARE,4,BASES DE DATOS
TECNOLOGIA EN DESARROLLO DE SOFTWARE,2,CALCULO DIFERENCIAL
TECNOLOGIA EN DESARROLLO DE SOFTWARE,3,CALCULO INTEGRAL
TECNOLOGIA EN DESARROLLO DE SOFTWARE,4,DESARROLLO DE APLICACIONES I
