MUNICIPIOS,RURAL,,,,,,,,,,,,,,,,,,,,,,,
CHIMICHAGUA,1,,,,,,,,,,,,,,,,,,,,,,,
CHINACOTA,0,,,,,,,,,,,,,,,,,,,,,,,
CHINAVITA,1,,,,,,,,,,,,,,,,,,,,,,,
CHINCHINA,0,,,,,,,,,,,,,,,,,,,,,,,
CHINU,0,,,,,,,,,,,,,,,,,,,,,,,
CHIPAQUE,1,,,,,,,,,,,,,,,,,,,,,,,
CHIPATA,1,,,,,,,,,,,,,,,,,,,,,,,
CHIQUINQUIRA,0,,,,,,,,,,,,,,,,,,,,,,,
CHIQUIZA,1,,,,,,,,,,,,,,,,,,,,,,,
CHIRIGUANA,1,,,,,,,,,,,,,,,,,,,,,,,
CHISCAS,1,,,,,,,,,,,,,,,,,,,,,,,
CHITA,1,,,,,,,,,,,,,,,,,,,,,,,
CHITAGA,1,,,,,,,,,,,,,,,,,,,,,,,
CHITARAQUE,1,,,,,,,,,,,,,,,,,,,,,,,
CHIVATA,0,,,,,,,,,,,,,,,,,,,,,,,
CHIVOR,1,,,,,,,,,,,,,,,,,,,,,,,
CHOACHI,0,,,,,,,,,,,,,,,,,,,,,,,
CHOCONTA,0,,,,,,,,,,,,,,,,,,,,,,,
CICUCO,0,,,,,,,,,,,,,,,,,,,,,,,
CIENAGA,0,,,,,,,,,,,,,,,,,,,,,,,
CIENAGA DE ORO,0,,,,,,,,,,,,,,,,,,,,,,,
CIENEGA,1,,,,,,,,,,,,,,,,,,,,,,,
CIMITARRA,1,,,,,,,,,,,,,,,,,,,,,,,
CIRCASIA,0,,,,,,,,,,,,,,,,,,,,,,,
CISNEROS,0,,,,,,,,,,,,,,,,,,,,,,,
CIUDAD BOLIVAR,0,,,,,,,,,,,,,,,,,,,,,,,
CLEMENCIA,0,,,,,,,,,,,,,,,,,,,,,,,
COCORNA,1,,,,,,,,,,,,,,,,,,,,,,,
COELLO,1,,,,,,,,,,,,,,,,,,,,,,,
COGUA,0,,,,,,,,,,,,,,,,,,,,,,,
COLOMBIA,1,,,,,,,,,,,,,,,,,,,,,,,
COLON,0,,,,,,,,,,,,,,,,,,,,,,,
COLON,0,,,,,,,,,,,,,,,,,,,,,,,
COLOSO,1,,,,,,,,,,,,,,,,,,,,,,,
COMBITA,1,,,,,,,,,,,,,,,,,,,,,,,
CONCEPCION,1,,,,,,,,,,,,,,,,,,,,,,,
CONCEPCION,1,,,,,,,,,,,,,,,,,,,,,,,
CONCORDIA,0,,,,,,,,,,,,,,,,,,,,,,,
CONCORDIA,0,,,,,,,,,,,,,,,,,,,,,,,
CONDOTO,1,,,,,,,,,,,,,,,,,,,,,,,
CONFINES,1,,,,,,,,,,,,,,,,,,,,,,,
CONSACA,1,,,,,,,,,,,,,,,,,,,,,,,
CONTADERO,0,,,,,,,,,,,,,,,,,,,,,,,
CONTRATACION,1,,,,,,,,,,,,,,,,,,,,,,,
CONVENCION,1,,,,,,,,,,,,,,,,,,,,,,,
COPACABANA,0,,,,,,,,,,,,,,,,,,,,,,,
COPER,1,,,,,,,,,,,,,,,,,,,,,,,
CORDOBA,1,,,,,,,,,,,,,,,,,,,,,,,
CORDOBA,1,,,,,,,,,,,,,,,,,,,,,,,
CORDOBA,1,,,,,,,,,,,,,,,,,,,,,,,
CORINTO,0,,,,,,,,,,,,,,,,,,,,,,,
COROMORO,1,,,,,,,,,,,,,,,,,,,,,,,
COROZAL,0,,,,,,,,,,,,,,,,,,,,,,,
CORRALES,1,,,,,,,,,,,,,,,,,,,,,,,
COTA,0,,,,,,,,,,,,,,,,,,,,,,,
COTORRA,0,,,,,,,,,,,,,,,,,,,,,,,
COVARACHIA,1,,,,,,,,,,,,,,,,,,,,,,,
COVENAS,0,,,,,,,,,,,,,,,,,,,,,,,
COYAIMA,1,,,,,,,,,,,,,,,,,,,,,,,
CRAVO NORTE,1,,,,,,,,,,,,,,,,,,,,,,,
CUASPUD,0,,,,,,,,,,,,,,,,,,,,,,,
CUBARA,1,,,,,,,,,,,,,,,,,,,,,,,
CUCAITA,0,,,,,,,,,,,,,,,,,,,,,,,
CUCUNUBA,1,,,,,,,,,,,,,,,,,,,,,,,
CUCUTA,0,,,,,,,,,,,,,,,,,,,,,,,
CUCUTILLA,1,,,,,,,,,,,,,,,,,,,,,,,
CUITIVA,1,,,,,,,,,,,,,,,,,,,,,,,
CUMARAL,1,,,,,,,,,,,,,,,,,,,,,,,
CUMARIBO,1,,,,,,,,,,,,,,,,,,,,,,,
CUMBAL,1,,,,,,,,,,,,,,,,,,,,,,,
CUMBITARA,1,,,,,,,,,,,,,,,,,,,,,,,
CUNDAY,1,,,,,,,,,,,,,,,,,,,,,,,
CURITI,1,,,,,,,,,,,,,,,,,,,,,,,
CURRILLO,0,,,,,,,,,,,,,,,,,,,,,,,
CURUMANI,1,,,,,,,,,,,,,,,,,,,,,,,
DABEIBA,1,,,,,,,,,,,,,,,,,,,,,,,
DAGUA,1,,,,,,,,,,,,,,,,,,,,,,,
DIBULLA,1,,,,,,,,,,,,,,,,,,,,,,,
DISTRACCION,0,,,,,,,,,,,,,,,,,,,,,,,
DOLORES,1,,,,,,,,,,,,,,,,,,,,,,,
DON MATIAS,0,,,,,,,,,,,,,,,,,,,,,,,
DOSQUEBRADAS,0,,,,,,,,,,,,,,,,,,,,,,,
DUITAMA,0,,,,,,,,,,,,,,,,,,,,,,,
DURANIA,1,,,,,,,,,,,,,,,,,,,,,,,
EBEJICO,1,,,,,,,,,,,,,,,,,,,,,,,
EL AGUILA,1,,,,,,,,,,,,,,,,,,,,,,,
EL BAGRE,0,,,,,,,,,,,,,,,,,,,,,,,
EL BANCO,0,,,,,,,,,,,,,,,,,,,,,,,
EL CAIRO,1,,,,,,,,,,,,,,,,,,,,,,,
EL CALVARIO,1,,,,,,,,,,,,,,,,,,,,,,,
EL CARMEN,1,,,,,,,,,,,,,,,,,,,,,,,
EL CARMEN DE ATRATO,1,,,,,,,,,,,,,,,,,,,,,,,
EL CARMEN DE CHUCURI,1,,,,,,,,,,,,,,,,,,,,,,,
EL CASTILLO,1,,,,,,,,,,,,,,,,,,,,,,,
EL CERRITO,0,,,,,,,,,,,,,,,,,,,,,,,
EL CHARCO,1,,,,,,,,,,,,,,,,,,,,,,,
EL COCUY,1,,,,,,,,,,,,,,,,,,,,,,,
EL COLEGIO,0,,,,,,,,,,,,,,,,,,,,,,,
EL COPEY,1,,,,,,,,,,,,,,,,,,,,,,,
EL DONCELLO,1,,,,,,,,,,,,,,,,,,,,,,,
EL DORADO,1,,,,,,,,,,,,,,,,,,,,,,,
EL DOVIO,1,,,,,,,,,,,,,,,,,,,,,,,
EL ENCANTO,1,,,,,,,,,,,,,,,,,,,,,,,
EL ESPINO,0,,,,,,,,,,,,,,,,,,,,,,,
EL GUACAMAYO,1,,,,,,,,,,,,,,,,,,,,,,,
EL GUAMO,1,,,,,,,,,,,,,,,,,,,,,,,
EL LITORAL DEL SAN JUAN,1,,,,,,,,,,,,,,,,,,,,,,,
EL MOLINO,1,,,,,,,,,,,,,,,,,,,,,,,
EL PASO,1,,,,,,,,,,,,,,,,,,,,,,,
EL PAUJIL,1,,,,,,,,,,,,,,,,,,,,,,,
EL PENOL,1,,,,,,,,,,,,,,,,,,,,,,,
EL PENON,1,,,,,,,,,,,,,,,,,,,,,,,
EL PENON,1,,,,,,,,,,,,,,,,,,,,,,,
EL PENON,1,,,,,,,,,,,,,,,,,,,,,,,
EL PINON,1,,,,,,,,,,,,,,,,,,,,,,,
EL PLAYON,1,,,,,,,,,,,,,,,,,,,,,,,
EL RETEN,0,,,,,,,,,,,,,,,,,,,,,,,
EL RETORNO,1,,,,,,,,,,,,,,,,,,,,,,,
EL ROBLE,0,,,,,,,,,,,,,,,,,,,,,,,
EL ROSAL,0,,,,,,,,,,,,,,,,,,,,,,,
EL ROSARIO,1,,,,,,,,,,,,,,,,,,,,,,,
EL TABLON DE GOMEZ,1,,,,,,,,,,,,,,,,,,,,,,,
EL TAMBO,1,,,,,,,,,,,,,,,,,,,,,,,
EL TAMBO,1,,,,,,,,,,,,,,,,,,,,,,,
EL TARRA,1,,,,,,,,,,,,,,,,,,,,,,,
EL ZULIA,1,,,,,,,,,,,,,,,,,,,,,,,
ELIAS,1,,,,,,,,,,,,,,,,,,,,,,,
ENCINO,1,,,,,,,,,,,,,,,,,,,,,,,
ENCISO,1,,,,,,,,,,,,,,,,,,,,,,,
ENTRERRIOS,1,,,,,,,,,,,,,,,,,,,,,,,
ENVIGADO,0,,,,,,,,,,,,,,,,,,,,,,,
ESPINAL,0,,,,,,,,,,,,,,,,,,,,,,,
FACATATIVA,0,,,,,,,,,,,,,,,,,,,,,,,
FALAN,1,,,,,,,,,,,,,,,,,,,,,,,
FILADELFIA,0,,,,,,,,,,,,,,,,,,,,,,,
FILANDIA,0,,,,,,,,,,,,,,,,,,,,,,,
FIRAVITOBA,0,,,,,,,,,,,,,,,,,,,,,,,
FLANDES,0,,,,,,,,,,,,,,,,,,,,,,,
FLORENCIA,0,,,,,,,,,,,,,,,,,,,,,,,
FLORENCIA,0,,,,,,,,,,,,,,,,,,,,,,,
FLORESTA,1,,,,,,,,,,,,,,,,,,,,,,,
FLORIAN,1,,,,,,,,,,,,,,,,,,,,,,,
FLORIDA,0,,,,,,,,,,,,,,,,,,,,,,,
FLORIDABLANCA,0,,,,,,,,,,,,,,,,,,,,,,,
FOMEQUE,1,,,,,,,,,,,,,,,,,,,,,,,
FONSECA,0,,,,,,,,,,,,,,,,,,,,,,,
FORTUL,1,,,,,,,,,,,,,,,,,,,,,,,
FOSCA,1,,,,,,,,,,,,,,,,,,,,,,,
FRANCISCO PIZARRO,1,,,,,,,,,,,,,,,,,,,,,,,
FREDONIA,0,,,,,,,,,,,,,,,,,,,,,,,
FRESNO,0,,,,,,,,,,,,,,,,,,,,,,,
FRONTINO,1,,,,,,,,,,,,,,,,,,,,,,,
FUENTE DE ORO,1,,,,,,,,,,,,,,,,,,,,,,,
FUNDACION,0,,,,,,,,,,,,,,,,,,,,,,,
FUNES,1,,,,,,,,,,,,,,,,,,,,,,,
FUNZA,0,,,,,,,,,,,,,,,,,,,,,,,
FUQUENE,1,,,,,,,,,,,,,,,,,,,,,,,
FUSAGASUGA,0,,,,,,,,,,,,,,,,,,,,,,,
GACHALA,1,,,,,,,,,,,,,,,,,,,,,,,
GACHANCIPA,0,,,,,,,,,,,,,,,,,,,,,,,
GACHANTIVA,1,,,,,,,,,,,,,,,,,,,,,,,
GACHETA,1,,,,,,,,,,,,,,,,,,,,,,,
GALAN,1,,,,,,,,,,,,,,,,,,,,,,,
GALAPA,0,,,,,,,,,,,,,,,,,,,,,,,
GALERAS,0,,,,,,,,,,,,,,,,,,,,,,,
GAMA,1,,,,,,,,,,,,,,,,,,,,,,,
GAMARRA,1,,,,,,,,,,,,,,,,,,,,,,,
GAMBITA,1,,,,,,,,,,,,,,,,,,,,,,,
